Site;Plot;Treatment;Species;Girth (cm);Diameter (cm);Notes
Skölvene;Ö50-60;thinned;Corylus avellana;22;7,002823411;
Skölvene;Ö50-60;thinned;Quercus sp.;84;26,73805302;
Skölvene;Ö50-60;thinned;Sorbus aucuparia;34;10,82254527;
Skölvene;Ö50-60;thinned;Betula sp.;66;21,00847023;
Skölvene;V50-60;control;Sorbus aucuparia;29;9,230994496;
Skölvene;V50-60;control;Sorbus aucuparia;32;10,18592496;
Skölvene;V50-60;control;Sorbus aucuparia;27;8,594374186;
Skölvene;V50-60;control;Picea abies;52;16,55212806;
Skölvene;V50-60;control;Quercus sp.;104;33,10425613;
Skölvene;V50-60;control;Corylus avellana;20;6,366203101;
Skölvene;V50-60;control;Corylus avellana;21;6,684513256;
Skölvene;V50-60;control;Corylus avellana;22;7,002823411;
Skölvene;V50-60;control;Corylus avellana;20;6,366203101;
Skölvene;V50-60;control;Corylus avellana;20;6,366203101;
Skölvene;V50-60;control;Corylus avellana;19;6,047892946;
Skölvene;V50-60;control;Quercus sp.;136;43,29018109;
Skölvene;V50-60;control;Corylus avellana;29;9,230994496;
Skölvene;V50-60;control;Corylus avellana;28;8,912684341;
Skölvene;V50-60;control;Corylus avellana;18;5,729582791;
Skölvene;V50-60;control;Quercus sp.;181;57,61413806;
Skölvene;V50-60;control;Quercus sp.;166;52,83948574;
Skölvene;V50-60;control;Corylus avellana;17;5,411272636;
Skölvene;V50-60;control;Corylus avellana;17;5,411272636;
Skölvene;V50-60;control;Corylus avellana;18;5,729582791;
Skölvene;V50-60;control;Corylus avellana;22;7,002823411;
Skölvene;V50-60;control;Corylus avellana;21;6,684513256;
Skölvene;V50-60;control;Corylus avellana;19;6,047892946;
Skölvene;V50-60;control;Quercus sp.;133;42,33525062;
Skölvene;V50-60;control;Corylus avellana;19;6,047892946;
Skölvene;V50-60;control;Quercus sp.;187;59,52399899;
Skölvene;V50-60;control;Picea abies;142;45,20004202;broken crown
Skölvene;V50-60;control;Corylus avellana;21;6,684513256;ligger
Skölvene;V50-60;control;Quercus sp.;174;55,38596698;
Skölvene;V50-60;control;Corylus avellana;20;6,366203101;
Skölvene;V50-60;control;Corylus avellana;16;5,092962481;
Skölvene;V50-60;control;Corylus avellana;19;6,047892946;
Skölvene;V50-60;control;Sorbus aucuparia;51;16,23381791;
Skölvene;V50-60;control;Sorbus aucuparia;30;9,549304651;
Skölvene;V50-60;control;Sorbus aucuparia;70;22,28171085;
Skölvene;V50-60;control;Corylus avellana;24;7,639443721;
Skölvene;V50-60;control;Betula sp.;88;28,01129364;
Skölvene;V50-60;control;Betula sp.;95;30,23946473;
Skölvene;V50-60;control;Corylus avellana;21;6,684513256;
Skölvene;V50-60;control;Corylus avellana;22;7,002823411;
Skölvene;V50-60;control;Alnus glutinosa;86;27,37467333;
Skölvene;V50-60;control;Alnus glutinosa;79;25,14650225;
Skölvene;V50-60;control;Alnus glutinosa;107;34,05918659;
Skölvene;V50-60;control;Sorbus aucuparia;77;24,50988194;
Skölvene;V50-60;control;Sorbus aucuparia;36;11,45916558;
Skölvene;V50-60;control;Alnus glutinosa;85;27,05636318;
Skölvene;V50-60;control;Picea abies;74;23,55495147;
Skölvene;V50-60;control;Alnus glutinosa;87;27,69298349;
Skölvene;V50-60;control;Alnus glutinosa;85;27,05636318;
